bucket,destination,source,date,firm,reason,sha256
confirmed,Invoices_hotel/2025/02/2025-02-21-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER6.pdf,2025-02-21,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,61ae38845fce664292c1c852b38c5af5f2f3133724d2b2a80d6825cb223ede55
confirmed,Invoices_hotel/2025/05/2025-05-01-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER15.pdf,2025-05-01,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,3fe3bd6818a3b0b8575ac46999f8069daa974863a3bdb10ad7bd2e26e559bef5
confirmed,Invoices_hotel/2025/01/2025-01-16-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER2.pdf,2025-01-16,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,14d7efe1cd8508d329ef2512d3fa441ef84891c4ac56069f56cc0764ebb78096
confirmed,Invoices_hotel/2025/04/2025-04-16-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER14.pdf,2025-04-16,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,547970ec487d3b3c7a3e7e17b37ebd9f5295da0c106300986f7a1832a7c21a19
confirmed,Invoices_hotel/2025/05/2025-05-27-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER18.pdf,2025-05-27,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,d5f1ba2d0d15b17bc9b5d96bf12f0ada2b29a1ed4066e64a5c220288c6e3abc0
confirmed,Invoices_hotel/2025/02/2025-02-27-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER7.pdf,2025-02-27,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,a252520a15454ca179eff6f70f2cfd9e8a948a3265ffff7052f2698d8ba2f27a
confirmed,Invoices_hotel/2025/03/2025-03-06-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER8.pdf,2025-03-06,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,02f4c16416de1911fe720a4d531aa3f443a996c8d61930d3ef25828d9657d909
confirmed,Invoices_hotel/2025/04/2025-04-03-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER12.pdf,2025-04-03,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,b9e2f65b510a9658323344d081157cfd69db4f4f5faaeb22612294dca6a333e0
confirmed,Invoices_hotel/2025/06/2025-06-10-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER19.pdf,2025-06-10,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,9e0285c7404b4826c17078c4451350db77c8ed4e1eaeb28fbc307779040a8060
confirmed,Invoices_hotel/2025/01/2025-01-09-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER1.pdf,2025-01-09,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,6b8f113a0fad099c43ba172c623fef95b0fba8d6a5b11565240c09e05ae6acc3
confirmed,Invoices_hotel/2025/06/2025-06-26-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER20.pdf,2025-06-26,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,92e60167b0243d06c36db5565951223357fad7de1f63c06512d0a7f4d8ddf5d8
confirmed,Invoices_hotel/2025/01/2025-01-24-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER3.pdf,2025-01-24,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,7ba9e3ddde58391ce8ac50e52f529e0cc3a3868124b6d79a436159d7caf337e9
confirmed,Invoices_hotel/2025/05/2025-05-08-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER16.pdf,2025-05-08,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,a394134410edc9f02e37d40908cc4dffff349b41f990852f5ada494e2041e0b0
confirmed,Invoices_hotel/2025/01/2025-01-30-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER4.pdf,2025-01-30,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,d80b915ca3ecfa52860de8c622f14ff14275030cb8526820ba39371b598a5266
confirmed,Invoices_hotel/2025/03/2025-03-13-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER9.pdf,2025-03-13,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,2d9a0d8edf50a1bf8506c4f93f135f2c5b2c887017a738b87eda98b873388822
confirmed,Invoices_hotel/2025/04/2025-04-10-Primadom Aparthotel.pdf,/home/seb/IdeaProjects/test/all-mails/primadom.ch/Primadom Aparthotel _contact@primadom.ch_/2025/10/1/facture_Sebastien PILLER13.pdf,2025-04-10,Primadom Aparthotel,PDF has hotel/stay and strong invoice/folio terms,9bb634eeb4098010a59f9bf9215d48cb3822973073c8a1af7d61f4664c65a033
