month,establishment,total_chf
2025-01,Primadom Aparthotel,790.00
2025-02,Primadom Aparthotel,592.50
2025-03,Primadom Aparthotel,790.00
2025-04,Primadom Aparthotel,592.50
2025-04,Starling Hotel Residence Geneve,133.35
2025-05,Airbnb,98.95
2025-05,Primadom Aparthotel,790.00
2025-06,Primadom Aparthotel,395.00
2025-08,Starling Hotel Residence Geneve,555.00
2025-09,Airbnb,209.35
2025-10,Starling Hotel Residence Geneve,245.50
2025-11,Starling Hotel Residence Geneve,287.50
2025-12,Starling Hotel Residence Geneve,515.00
2026-04,Starling Hotel Residence Geneve,517.00
2026-05,Starling Hotel Residence Geneve,597.00
2026-06,Starling Hotel Residence Geneve,288.50
