year,establishment,total_chf,official_chf,non_official_chf,year_subtotal_chf,year_official_chf,year_non_official_chf,count,nights,avg_chf_per_night
2025,Airbnb,907.75,525.60,382.15,8147.55,6211.95,1935.60,39,74,110.10
2025,Nash Airport Hotel,125.75,0.00,125.75,8147.55,6211.95,1935.60,39,74,110.10
2025,Primadom Aparthotel,3950.00,3950.00,0.00,8147.55,6211.95,1935.60,39,74,110.10
2025,Ramada Encore by Wyndham Geneva,1186.50,0.00,1186.50,8147.55,6211.95,1935.60,39,74,110.10
2025,Starling Hotel Residence Geneve,1977.55,1736.35,241.20,8147.55,6211.95,1935.60,39,74,110.10
2026,Airbnb,341.00,0.00,341.00,2737.33,1402.50,1334.83,13,24,114.06
2026,Design Hotel f6,199.55,0.00,199.55,2737.33,1402.50,1334.83,13,24,114.06
2026,Hotel des Tourelles,190.40,0.00,190.40,2737.33,1402.50,1334.83,13,24,114.06
2026,Ramada Encore by Wyndham Geneva,223.20,0.00,223.20,2737.33,1402.50,1334.83,13,24,114.06
2026,Starling Hotel Residence Geneve,1635.78,1402.50,233.28,2737.33,1402.50,1334.83,13,24,114.06
2026,ibis budget Geneve Petit-Lancy,147.40,0.00,147.40,2737.33,1402.50,1334.83,13,24,114.06
