month,establishment,total_chf,month_subtotal_chf,invoice_count,nights,avg_chf_per_night,change_vs_previous_month_chf,change_vs_previous_month_pct
2025-01,Primadom Aparthotel,790.00,790.00,4,8,98.75,,
2025-02,Primadom Aparthotel,592.50,592.50,3,6,98.75,-197.50,-25.00
2025-03,Primadom Aparthotel,790.00,790.00,4,8,98.75,197.50,33.33
2025-04,Primadom Aparthotel,790.00,923.35,5,9,102.59,133.35,16.88
2025-04,Starling Hotel Residence Geneve,133.35,,,,,,
2025-05,Airbnb,98.95,691.45,4,7,98.78,-231.90,-25.12
2025-05,Primadom Aparthotel,592.50,,,,,,
2025-06,Primadom Aparthotel,395.00,395.00,2,4,98.75,-296.45,-42.87
2025-08,Starling Hotel Residence Geneve,555.00,555.00,2,4,138.75,160.00,40.51
2025-09,Airbnb,209.35,209.35,1,2,104.68,-345.65,-62.28
2025-10,Starling Hotel Residence Geneve,245.50,245.50,1,2,122.75,36.15,17.27
2025-11,Starling Hotel Residence Geneve,287.50,287.50,1,2,143.75,42.00,17.11
2025-12,Starling Hotel Residence Geneve,515.00,515.00,2,4,128.75,227.50,79.13
2026-03,Starling Hotel Residence Geneve,268.50,268.50,1,2,134.25,-246.50,-47.86
2026-04,Starling Hotel Residence Geneve,248.50,248.50,1,2,124.25,-20.00,-7.45
2026-05,Starling Hotel Residence Geneve,597.00,597.00,3,4,149.25,348.50,140.24
2026-06,Starling Hotel Residence Geneve,288.50,288.50,1,2,144.25,-308.50,-51.68
