iso_year,iso_week,week_start,week_end
2025,7,2025-02-10,2025-02-16
2025,17,2025-04-21,2025-04-27
2025,23,2025-06-02,2025-06-08
2025,27,2025-06-30,2025-07-06
2025,28,2025-07-07,2025-07-13
2025,29,2025-07-14,2025-07-20
2025,30,2025-07-21,2025-07-27
2025,31,2025-07-28,2025-08-03
2025,34,2025-08-18,2025-08-24
2025,35,2025-08-25,2025-08-31
2025,36,2025-09-01,2025-09-07
2025,37,2025-09-08,2025-09-14
2025,39,2025-09-22,2025-09-28
2025,40,2025-09-29,2025-10-05
2025,41,2025-10-06,2025-10-12
2025,42,2025-10-13,2025-10-19
2025,44,2025-10-27,2025-11-02
2025,46,2025-11-10,2025-11-16
2025,48,2025-11-24,2025-11-30
2025,52,2025-12-22,2025-12-28



2026,1,2025-12-29,2026-01-04
2026,2,2026-01-05,2026-01-11
2026,3,2026-01-12,2026-01-18
2026,4,2026-01-19,2026-01-25
2026,6,2026-02-02,2026-02-08
2026,7,2026-02-09,2026-02-15
2026,8,2026-02-16,2026-02-22
2026,9,2026-02-23,2026-03-01
2026,10,2026-03-02,2026-03-08
2026,11,2026-03-09,2026-03-15
2026,12,2026-03-16,2026-03-22
2026,13,2026-03-23,2026-03-29
2026,17,2026-04-20,2026-04-26
2026,18,2026-04-27,2026-05-03
2026,21,2026-05-18,2026-05-24
